speaker	countInScene	sceneNum	sceneMarker
Arthur Read	1	2	scene
Arthur	1	3	scene
Francine	1	3	scene
Arthur	1	3	scene
Francine	1	3	scene
Arthur	1	4	scene
Francine	1	4	scene
The Brain	1	4	scene
Francine	1	4	scene
The Brain	1	4	scene
Arthur	1	4	scene
Buster Baxter	1	4	scene
The Brain	1	4	scene
Francine	1	4	scene
The Brain	1	4	scene
Francine	1	4	scene
The Brain	1	4	scene
Francine	1	4	scene
Arthur	1	4	scene
Written by	1	5	scene
Binky Barnes	1	5	scene
Arthur	1	6	scene
Students	1	8	scene
Francis Haney	1	9	scene
Mr. Haney (over the speaker)	1	10	scene
Arthur	1	11	scene
Francine	1	11	scene
Fern Walters	1	12	scene
Francine	1	12	scene
Arthur	1	13	scene
Francine	1	13	scene
Arthur	1	13	scene
Francine	1	13	scene
Arthur	1	13	scene
Francine	1	13	scene
Francine	1	14	scene
Fern	1	14	scene
Francine	1	14	scene
Fern	1	14	scene
Muffy	1	14	scene
Francine	1	14	scene
The Brain	1	14	scene
Francine	1	14	scene
Mrs. Tingley	1	15	scene
Mr. Ratburn	1	15	scene
Mrs. Tingley	1	15	scene
Mr. Ratburn	1	15	scene
Ms. Sweetwater	1	15	scene
Mrs. Tingley	1	15	scene
Ms. Sweetwater	1	15	scene
Mrs. Tingley	1	15	scene
Ms. Sweetwater	1	15	scene
Mrs. Tingley	1	16	scene
Mrs. MacGrady	1	16	scene
Ms. Sweetwater	1	16	scene
Mrs. MacGrady	1	16	scene
Ms. Sweetwater	1	16	scene
Mr. Haney	1	17	scene
Mrs. Tingley	1	17	scene
Mr. Haney	1	17	scene
Mrs. Tingley	1	17	scene
Mr. Haney	1	17	scene
Buster	1	18	scene
Fern	1	18	scene
The Brain	1	18	scene
Binky	1	18	scene
Sue Ellen	1	18	scene
The Brain	1	18	scene
Ms. Sweetwater	1	19	scene
Ms. Tingley	1	19	scene
Ms. Sweetwater	1	19	scene
Mr. Haney	1	19	scene
Sue Ellen	1	20	scene
Arthur	1	21	scene
Fern	1	21	scene
Arthur	1	21	scene
Francine	1	21	scene
Buster	1	21	scene
Arthur	1	21	scene
Comic Teacher	1	21	scene
Arthur	1	21	scene
Giant Slime	1	21	scene
Arthur	1	21	scene
Comic Teacher	1	21	scene
Giant Slime	1	21	scene
Arthur	1	21	scene
Giant Slime	1	21	scene
Comic Students	1	21	scene
Arthur	1	21	scene
Bionic Bunny	1	21	scene
Arthur	1	21	scene
Bionic Bunny	1	21	scene
Arthur	1	21	scene
Buster-like Cartoon Boy	1	21	scene
Arthur	1	21	scene
Cartoon Boy	1	21	scene
Giant Slime	1	21	scene
Arthur	1	21	scene
Cartoon Boy	1	21	scene
Arthur	1	21	scene
Bionic Bunny	1	21	scene
Cartoon Boy	1	21	scene
Buster	1	21	scene
Mr. Haney	1	21	scene
Mrs. MacGrady	1	21	scene
Buster	1	23	scene
Mrs. MacGrady	1	25	scene
Fern	1	25	scene
Mrs. MacGrady	1	25	scene
Fern	1	25	scene
Mrs. MacGrady	1	25	scene
Buster	1	25	scene
Mrs. MacGrady	1	25	scene
Francine	1	25	scene
Mrs. MacGrady	1	25	scene
Francine	1	25	scene
Mrs. MacGrady	1	25	scene
Francine	1	25	scene
Mrs. MacGrady	1	25	scene
Francine	1	25	scene
Arthur	1	25	scene
Binky	1	25	scene
Fern	1	25	scene
Mrs. MacGrady	1	25	scene
Francine	1	25	scene
Mrs. MacGrady	1	25	scene
Francine	1	25	scene
Mrs. MacGrady	1	25	scene
Buster	1	26	scene
Mrs. MacGrady	1	26	scene
Fern	1	26	scene
Buster	1	26	scene
Arthur	1	26	scene
Mrs. MacGrady	1	26	scene
Fern	1	27	scene
Ms. Sweetwater	1	27	scene
Mr. Haney	1	27	scene
